句子,层,Token,曲率 K(t),曲率演化速率,平均欧氏距离 D(t),距离变化率 |ΔD(L)|,语义漂移系数 S(t)
铁门很重。,15,门,5.96430613498324e-05,0.0004603131696967,0.5868004112484625,0.5868004112484625,0.0
铁门很重。,15,很,6.074997974257638e-05,1.1069183927439803e-06,0.6198533913617732,0.0330529801133107,3.889841319332265e-05
铁门很重。,15,重,7.87668526799525e-05,1.801687293737612e-05,0.6778770247005967,0.0580236333388235,9.240815978207276e-06
铁门很重。,15,。,6.109373774305708e-05,-1.7673114936895415e-05,0.7446123319029014,0.0667353072023047,4.6242085916052215e-05
铁门很重。,16,铁,-0.0001785763546487,-0.0002396700923917,0.0,0.7446123319029014,0.0
铁门很重。,16,门,0.0003265250188434,0.0005051013734921,0.6045817147351124,0.6045817147351124,5.718545724298556e-05
铁门很重。,16,很,-4.1095954702298335e-05,-0.0003676209735457,0.6427630495233779,0.0381813347882655,5.723162621613059e-05
铁门很重。,16,重,-0.0004230151253696,-0.0003819191706673,0.7056806692719454,0.0629176197485674,0.0001498691310032
铁门很重。,16,。,-1.7899427459199394e-05,0.0004051156979104,0.7390842762384852,0.0334036069665397,5.478609323619766e-05
铁门很重。,17,铁,-0.0007491813635611,-0.0007312819361019,0.0,0.7390842762384852,0.0
铁门很重。,17,门,0.0009763423049076,0.0017255236684687,0.6137335386569658,0.6137335386569658,5.705581766220085e-05
铁门很重。,17,很,0.0004004680441746,-0.000575874260733,0.6260543248416469,0.0123207861846811,7.414888698065269e-05
铁门很重。,17,重,-0.0002449058262254,-0.0006453738704,0.7094139812767362,0.0833596564350892,8.76843794695951e-05
铁门很重。,17,。,0.0008772700567405,0.001122175882966,0.7743838438150015,0.0649698625382653,2.0133626604227687e-06
铁门很重。,18,铁,0.0001216716522385,-0.000755598404502,0.0,0.7743838438150015,0.0
铁门很重。,18,门,0.0002150219085788,9.335025634030076e-05,0.6088842545572213,0.6088842545572213,5.668656300522846e-05
铁门很重。,18,很,2.0847095019346977e-06,-0.0002129371990768,0.6008742112878238,0.0080100432693974,5.671763317357024e-05
铁门很重。,18,重,0.0009012789580364,0.0008991942485344,0.6775928537247008,0.0767186424368769,5.6707306652733416e-05
铁门很重。,18,。,0.0004606446740303,-0.000440634284006,0.7677046538489456,0.0901118001242448,3.511146542095176e-07
铁门很重。,19,铁,0.0001292244124188,-0.0003314202616114,0.0,0.7677046538489456,0.0
铁门很重。,19,门,0.0007857887948617,0.0006565643824429,0.5945631941039443,0.5945631941039443,5.655740290737107e-05
铁门很重。,19,很,1.718941318072597e-05,-0.000768599381681,0.5856149331308899,0.0089482609730544,5.6519403398578985e-05
铁门很重。,19,重,0.0019032550687036,0.0018860656555229,0.6564827962802238,0.0708678631493339,0.0001259348081759
铁门很重。,19,。,0.000745808095462,-0.0011574469732416,0.7388936049812475,0.0824108087010236,1.330001355172951e-08
铁门很重。,20,铁,-0.0007176804079633,-0.0014634885034253,0.0,0.7388936049812475,0.0
铁门很重。,20,门,0.0002617922819223,0.0009794726898856,0.5558098830466902,0.5558098830466902,5.636191435334372e-05
铁门很重。,20,很,-0.0004170980157883,-0.0006788902977107,0.552669977431687,0.0031399056150032,5.634937943831168e-05
铁门很重。,20,重,0.0020374857095156,0.002454583725304,0.6042949901081163,0.0516250126764292,5.878487855993112e-05
铁门很重。,20,。,0.0005128811729186,-0.0015246045365969,0.6799515343291246,0.0756565442210083,1.0364576973672085e-07
铁门很重。,21,铁,-0.0002605046772762,-0.0007733858501948,0.0,0.6799515343291246,0.0
铁门很重。,21,门,0.0003378898944908,0.000598394571767,0.5352917227343683,0.5352917227343683,5.610497064565339e-05
铁门很重。,21,很,0.0004260068171372,8.811692264645068e-05,0.5296527636999735,0.0056389590343948,0.0001456985467746
铁门很重。,21,重,0.0036576505237377,0.0032316437066004,0.5780134252892905,0.0483606615893169,5.621011183931518e-05
铁门很重。,21,。,0.0013561795649976,-0.00230147095874,0.6416408098719968,0.0636273845827063,7.419510995018953e-05
铁门很重。,22,铁,0.0003001693925651,-0.0010560101724325,0.0,0.6416408098719968,0.0
铁门很重。,22,门,-0.0009404277422172,-0.0012405971347823,0.4553320112595109,0.4553320112595109,0.0
铁门很重。,22,很,0.0007493823889503,0.0016898101311675,0.4344757018857037,0.0208563093738071,0.0
铁门很重。,22,重,-0.0013628772060156,-0.0021122595949659,0.5025967786138029,0.0681210767280992,0.0
铁门很重。,22,。,0.0014337148173377,0.0027965920233533,0.5439023627923224,0.0413055841785194,1.0036938222211221e-14
铁门很重。,23,铁,0.0012408026119784,-0.0001929122053593,0.0,0.5439023627923224,0.0
铁门很重。,23,门,-0.0002805223759317,-0.0015213249879101,0.4596145299205655,0.4596145299205655,0.0
铁门很重。,23,很,0.0011043620739403,0.001384884449872,0.4418862436762388,0.0177282862443266,0.0
铁门很重。,23,重,-0.0011670184827094,-0.0022713805566498,0.5122120328565801,0.0703257891803412,0.0
铁门很重。,23,。,0.0018063591297376,0.0029733776124471,0.545253341241053,0.0330413083844728,1.7953594495565897e-15
铜壶可以煮水。,0,铜,-8.582071044755235e-05,0.0,0.0,0.0,0.0
铜壶可以煮水。,0,壶,0.0002277034439529,0.0003135241544005,0.0,0.0,0.3218700564017104
铜壶可以煮水。,0,可以,-0.0007164694886034,-0.0009441729325563,0.0,0.0,0.4384281854570602
铜壶可以煮水。,0,煮,0.0004172887013047,0.0011337581899081,0.0,0.0,0.4241090968621965
铜壶可以煮水。,0,水,0.0002623487787366,-0.000154939922568,0.0,0.0,0.4202473099724103
铜壶可以煮水。,0,。,-0.0005303020834227,-0.0007926508621594,0.0,0.0,0.465185044338224
铜壶可以煮水。,1,铜,-0.0007281951269423,-0.0001978930435195,0.0,0.0,0.0
铜壶可以煮水。,1,壶,-0.0005008991688018,0.0002272959581404,0.0,0.0,0.011350205390514
铜壶可以煮水。,1,可以,3.7879845720216594e-06,0.0005046871533738,0.0,0.0,0.0147380216792769
铜壶可以煮水。,1,煮,0.0001770650385365,0.0001732770539645,0.0,0.0,0.0074678232990336
铜壶可以煮水。,1,水,0.0002677719288633,9.07068903267399e-05,0.0,0.0,0.0305755348453607
铜壶可以煮水。,1,。,8.199222058133672e-06,-0.0002595727068051,0.0,0.0,0.0494456856259067
铜壶可以煮水。,2,铜,0.0001545692137335,0.0001463699916754,0.0,0.0,0.0
铜壶可以煮水。,2,壶,-2.688669373143083e-05,-0.0001814559074649,0.0,0.0,0.0047898221322798
铜壶可以煮水。,2,可以,0.0003431292029595,0.000370015896691,0.8570073395088369,0.8570073395088369,0.0002944205630223
铜壶可以煮水。,2,煮,-8.373045330843682e-05,-0.000426859656268,0.0,0.8570073395088369,0.0051271198231262
铜壶可以煮水。,2,水,0.0001818236481717,0.0002655541014802,0.0,0.0,0.0149104138785991
铜壶可以煮水。,2,。,-2.3722854283040817e-05,-0.0002055465024548,0.8644716800187738,0.8644716800187738,0.0031790143644264
铜壶可以煮水。,3,铜,-0.00062213920524,-0.000598416350957,0.0,0.8644716800187738,0.0
铜壶可以煮水。,3,壶,-1.3994706628000686e-05,0.000608144498612,0.0,0.0,0.007579035646335
铜壶可以煮水。,3,可以,0.0003500684352058,0.0003640631418338,0.903741642321054,0.903741642321054,0.0027521529275602
铜壶可以煮水。,3,煮,-2.0137278277413977e-05,-0.0003702057134832,0.0,0.903741642321054,0.0108501146027245
铜壶可以煮水。,3,水,0.0003762430284304,0.0003963803067078,0.0,0.0,0.0192251457092298
铜壶可以煮水。,3,。,0.0005945807890721,0.0002183377606416,0.888675842431074,0.888675842431074,0.0043393938009933
铜壶可以煮水。,4,铜,-8.891098184802172e-05,-0.0006834917709201,0.0,0.888675842431074,0.0
铜壶可以煮水。,4,壶,-2.724402424433244e-05,6.166695760368929e-05,0.0,0.0,0.0003291159561263
铜壶可以煮水。,4,可以,0.0003630447229616,0.000390288747206,0.8420357009438426,0.8420357009438426,5.96817367574438e-05
铜壶可以煮水。,4,煮,4.91137068979517e-05,-0.0003139310160637,0.0,0.8420357009438426,0.0003291896278211
铜壶可以煮水。,4,水,-0.0002009842287578,-0.0002500979356557,0.0,0.0,0.0003295998037584
铜壶可以煮水。,4,。,0.0010053014289224,0.0012062856576802,0.8654568205537249,0.8654568205537249,5.979187185933371e-05
铜壶可以煮水。,5,铜,-7.923556991190125e-05,-0.0010845369988343,0.0,0.8654568205537249,0.0
铜壶可以煮水。,5,壶,-5.72996433399899e-05,2.1935926571911356e-05,0.6729931747714658,0.6729931747714658,5.941441183981252e-05
铜壶可以煮水。,5,可以,4.0432792646286594e-05,9.773243598627648e-05,0.8298537549852506,0.1568605802137848,5.958592810277834e-05
铜壶可以煮水。,5,煮,0.0005803641746834,0.0005399313820371,0.6892086696951909,0.1406450852900597,5.947455737076936e-05
铜壶可以煮水。,5,水,-0.0003548613492454,-0.0009352255239289,0.739624006009259,0.0504153363140681,5.955786237386335e-05
铜壶可以煮水。,5,。,-4.375077429449414e-05,0.0003111105749509,0.8649822934274978,0.1253582874182387,5.966489726192607e-05
铜壶可以煮水。,6,铜,0.0005333807016813,0.0005771314759758,0.0,0.8649822934274978,0.0
铜壶可以煮水。,6,壶,0.0001410456640773,-0.000392335037604,0.7549134768095527,0.7549134768095527,5.84777228352447e-05
铜壶可以煮水。,6,可以,-0.0001229699012474,-0.0002640155653247,0.8480467144219339,0.0931332376123812,5.854042387413521e-05
铜壶可以煮水。,6,煮,0.0004683530848434,0.0005913229860909,0.6673654912279638,0.18068122319397,5.849802914265734e-05
铜壶可以煮水。,6,水,0.0002689211326519,-0.0001994319521914,0.7361112448912902,0.0687457536633263,5.854747139500008e-05
铜壶可以煮水。,6,。,-1.0628077740911113e-05,-0.0002795492103928,0.8884495083629106,0.1523382634716203,5.862754773647357e-05
铜壶可以煮水。,7,铜,-0.0003844422027241,-0.0003738141249832,0.0,0.8884495083629106,0.0
铜壶可以煮水。,7,壶,0.0003360078457687,0.0007204500484928,0.7439268865814146,0.7439268865814146,5.849948168162204e-05
铜壶可以煮水。,7,可以,0.001017631894069,0.0006816240483002,0.8240482007541409,0.0801213141727262,5.8476997263078006e-05
铜壶可以煮水。,7,煮,0.0002446286971284,-0.0007730031969406,0.7252123383009853,0.0988358624531555,5.843189132716341e-05
铜壶可以煮水。,7,水,-2.149345694223069e-05,-0.0002661221540706,0.7300180958051327,0.0048057575041473,5.855437548953075e-05
铜壶可以煮水。,7,。,0.0001091917728068,0.0001306852297491,0.8876635336034064,0.1576454377982737,5.855914867641641e-05
铜壶可以煮水。,8,铜,-0.0003283637598269,-0.0004375555326338,0.0,0.8876635336034064,0.0
铜壶可以煮水。,8,壶,0.0001965808049359,0.0005249445647628,0.7491971991455778,0.7491971991455778,5.841805767806122e-05
铜壶可以煮水。,8,可以,0.0007032141885328,0.0005066333835969,0.8632812431980291,0.1140840440524513,5.848529558634673e-05
铜壶可以煮水。,8,煮,0.0005491800610646,-0.0001540341274682,0.7368293850271747,0.1264518581708544,5.84126435088257e-05
铜壶可以煮水。,8,水,0.0006321033922432,8.292333117865063e-05,0.7772604570280612,0.0404310720008865,5.84964034044559e-05
铜壶可以煮水。,8,。,5.307112026698912e-05,-0.0005790322719762,0.9242011865891232,0.1469407295610619,5.8537997607367685e-05
铜壶可以煮水。,9,铜,-0.0001723068312705,-0.0002253779515375,0.0,0.9242011865891232,0.0
铜壶可以煮水。,9,壶,-0.0002897249019687,-0.0001174180706982,0.8040835925619527,0.8040835925619527,5.8380104137521184e-05
铜壶可以煮水。,9,可以,0.0022252729109443,0.0025149978129131,0.8541590377208407,0.0500754451588879,5.841516634699028e-05
铜壶可以煮水。,9,煮,0.000661843599488,-0.0015634293114563,0.7097672457842885,0.1443917919365521,5.837181401847576e-05
铜壶可以煮水。,9,水,0.0005936752323242,-6.816836716374566e-05,0.746354221857417,0.0365869760731284,0.0001140471023386
铜壶可以煮水。,9,。,0.0009867267156061,0.0003930514832819,0.8785930905185707,0.1322388686611537,5.850732260496076e-05
铜壶可以煮水。,10,铜,-3.187927167455899e-05,-0.0010186059872807,0.0,0.8785930905185707,0.0
铜壶可以煮水。,10,壶,0.0003565690386284,0.0003884483103029,0.6964102596901218,0.6964102596901218,5.827223431503384e-05
铜壶可以煮水。,10,可以,0.0010579028907336,0.0007013338521052,0.7958372530975603,0.0994269934074384,5.840196317589471e-05
铜壶可以煮水。,10,煮,1.8106542138188392e-05,-0.0010397963485954,0.616325289089815,0.1795119640077452,5.832909221205794e-05
铜壶可以煮水。,10,水,0.0018631619513009,0.0018450554091627,0.692037975338947,0.0757126862491319,0.0003542831222408
铜壶可以煮水。,10,。,0.0017379534680749,-0.0001252084832259,0.8689115754472996,0.1768736001083526,5.850357721361812e-05
铜壶可以煮水。,11,铜,-1.8773503562902512e-05,-0.0017567269716378,0.0,0.8689115754472996,0.0
铜壶可以煮水。,11,壶,-0.0001231659637528,-0.0001043924601899,0.691539252312579,0.691539252312579,5.8261384070431705e-05
铜壶可以煮水。,11,可以,0.0007375512941802,0.000860717257933,0.8173371403064945,0.1257978879939155,5.836604463848677e-05
铜壶可以煮水。,11,煮,0.0002121218524112,-0.0005254294417689,0.6290233870515863,0.1883137532549081,5.829495684855323e-05
铜壶可以煮水。,11,水,0.0016833150469312,0.0014711931945199,0.7148435707217594,0.085820183670173,0.0002470688039239
铜壶可以煮水。,11,。,0.0006299954421906,-0.0010533196047405,0.874866886578246,0.1600233158564865,6.241648164556632e-05
铜壶可以煮水。,12,铜,-0.000133218540687,-0.0007632139828777,0.0,0.874866886578246,0.0
铜壶可以煮水。,12,壶,0.0005291849319427,0.0006624034726298,0.7748470932098824,0.7748470932098824,5.824677229493295e-05
铜壶可以煮水。,12,可以,0.0019091115315218,0.0013799265995791,0.8249932089036194,0.0501461156937369,0.000207205219264
铜壶可以煮水。,12,煮,-0.0008518573098723,-0.0027609688413942,0.6847779988372162,0.1402152100664031,0.0009817559626745
